image,caption
1000268201_693b08cb0e.jpg,"A little girl in a pink dress is climbing the stairs to her wooden playhouse, which she is entering."
1001773457_577c3a7d70.jpg,"A black dog and a tri-colored dog, which includes a white dog with brown spots, are staring at each other on the road, with the two dogs of different breeds moving toward each other on the pavement."
1002674143_1b742ab4b8.jpg,"A little girl with pigtails, covered in paint, sits in front of a large painted rainbow on a white canvas, her hands in a bowl as she plays with fingerpaints in the grass."
1003163366_44323f5815.jpg,"A shirtless man lies on a park bench outside, holding the leash of his white and black dog, which is sitting on the ground next to him."
1007129816_e794419615.jpg,"A man with pierced ears is wearing glasses, an orange hat, and a beer can crocheted hat, and he is starring at something."
1007320043_627395c3d8.jpg,"A small child is gripping onto red ropes at the playground, climbing on them while a little girl in pink climbs a rope bridge, and a little girl is climbing on red roping, all depicted in the same image of a child playing on a rope net."
1009434119_febe49276a.jpg,A black and white Boston Terrier is running on lush green grass in front of a white fence.
1012212859_01547e3f17.jpg,"A white dog with brown ears stands on the shore near the water, shaking its head and playing with a red ball at its feet, while also shaking off water."
1015118661_980735411b.jpg,"A young boy, wearing a white shirt and blue jeans, is smiling in front of a stony wall in a city, while a man in overalls is working on the wall behind him, and a little boy is standing on the street alongside a metal pole, with another young child walking on a stone-paved street."
1015584366_dfcec3c85a.jpg,"A large mottled black and grey dog with a blue collar is leaping over a fallen tree stump, matching the description of a black dog jumping over a log."
101654506_8eb26cfb60.jpg,A white and brown dog is running through a snow-covered field over the surface of the snow.
101669240_b2d3e7f17b.jpg,"A man in a hat is displaying pictures next to a skier in a blue hat, who is skis past another man displaying paintings in the snow, while a person wearing skis looks at framed pictures set up in the snow next to trees, and a skier looks at artwork for sale in the snow."
1016887272_03199f49c4.jpg,"A group of several climbers are ascending a rock face in a row, while another man in red watches and holds the line, and a separate man is belaying, ensuring the safety of the climbers as they climb the cliff."
1019077836_6fc9b15408.jpg,"A large brown dog is running on a lawn near a garden hose, playing with the hose and chasing the water from a sprinkler in the grass."
1019604187_d087bf9a5f.jpg,A white dog is ready to catch a yellow ball flying through the air as it runs after the ball in a field with nearby cars.
1020651753_06077ec457.jpg,A black and white dog jumps into the air to catch a yellow toy in a green field.
1022454332_6af2c1449a.jpg,"A child and a woman are at the edge of a large lake in a big city, where a lone duck is swimming and several people are gathered around the water, including a young boy who is watching the duck and waving his hand, all surrounded by a green park with the city skyline in the background."
1022454428_b6b660a67b.jpg,"A couple, with their infant being held by the male, sits outdoors next to a pond, near a stroller, with a tree in the background and a lake visible in the distance."
1022975728_75515238d8.jpg,"A black dog, identified as a black lab with tags, splashes and runs through the water in the surf."
102351840_323e3de834.jpg,"A man is drilling a hole in the ice of a frozen pond, with another person standing on a frozen lake nearby, and two men ice fishing in the snow."
1024138940_f1fefbdce1.jpg,"Two different breeds of large tan dogs play together on a sandy beach, making a turn on soft sand while playing in the sand at the beach."
102455176_5f8ead62d5.jpg,"A man using ice picks and crampons scales a frozen ice wall, as an ice climber in a blue jacket and black pants climbs a frozen waterfall, with another person in blue and red ice climbing alongside, using two picks, all depicting a climber ascending an ice wall."
1026685415_0431cbf574.jpg,A wet black dog is carrying a green toy through the grass.
1028205764_7e8df9a2ea.jpg,"A man and a young boy are in a yellow kayak, wearing blue life jackets, and are rowing through gentle waters."
1030985833_b0902ea560.jpg,"A black dog and a brown dog are jumping up to catch a red toy, playing with it on a courtyard, with the black dog snapping at a red and black object as the brown dog lunges, while a Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway."
103106960_e8a41d64f8.jpg,"A young boy in a red jacket is kneeling in front of a hockey goal, crouching as a goalie, holding a hockey stick in his right hand, playing street hockey in a hockey rink."
103195344_5d2dc613a3.jpg,"A man in black is sitting in a building's courtyard, reading a newspaper near a large statue, which is a modern art structure located in front of a glass building and a metal sculpture, with the man also having a backpack."
103205630_682ca7285b.jpg,"Two men are setting up a blue ice fishing tent on an iced-over lake, with the structure partially covered by a blue tarp, as they stand on the snow-covered surface and prepare to enter the tent."
1032122270_ea6f0beedb.jpg,"Three dogs stand in a grassy field while a person kneels nearby, with the scene taking place on a grassy hill under a blue sky."
1032460886_4a598ed535.jpg,"A man in a red shirt is standing in front of a very tall building, which is a skyscraper, with another large skyscraper visible in the distance behind him."
1034276567_49bb87c51c.jpg,"A small boy sits outside at a table, biting hard into a pizza he is eating from a tin dish, while simultaneously putting a baked good in his mouth with both hands."
104136873_5b5d41be75.jpg,"Three people rest on a ledge above the mountains, overlooking a green valley."
1042020065_fb3d3ba5ba.jpg,A young boy in a green shirt wearing a jersey looks down over a ledge at many inflatable boats and kayakers in the water.
1042590306_95dea0916c.jpg,"A multiracial couple, consisting of an Asian man and a blond woman, are holding hands outdoors in front of some buildings, with the man in a blue shirt biting the hand of the woman in a black striped jacket, while another man watches from the background."
1045521051_108ebc19be.jpg,"A young man sits on the floor in front of a television, eating a fast food meal while watching a picture of a girl on the screen."
1048710776_bb5b0a5c7c.jpg,"A group of several young people, including teens, sit on a wall or rail above a crowded beach, overlooking the shoreline."
1052358063_eae6744153.jpg,"A young boy skateboarder is jumping on a platform while another young skateboarder watches, and a child is performing a skateboard trick while another child with a skateboard leans on a wall."
105342180_4d4a40b47f.jpg,"A woman with a paddle sits in a boat on the water, paddling down a river as seen from behind her."
1053804096_ad278b25f1.jpg,A young girl with pigtails plays in the shallow water of the ocean by the beach.
1055623002_8195a43714.jpg,"A group of four young children are having a pillow fight on a bed, wearing pajamas."
1055753357_4fa3d8d693.jpg,"Two construction workers take a break by sitting on a steel I-beam, which is positioned on the side of a building."
1056249424_ef2a2e041c.jpg,"Two boys, one with a yellow and orange ball, play in a puddle of water in front of a field on a sunny day, while running and playing with a balloon in the mud."
1056338697_4f7d7ce270.jpg,"A blond woman in a blue shirt is on the street, waving and signaling to traffic, with her blonde hair visible, wearing a blue tube top, and holding out her arm as she hails a taxi."
1056359656_662cee0814.jpg,"A young girl sits on a train seat, looking at a train ride brochure, while holding a magazine in her hands and reading a book about train rides."
1056873310_49c665eb22.jpg,"A brown dog is running after the black dog on a rocky shore, where two dogs are playing near a body of water, with the rocky area featuring stones and water in the background."
1057089366_ca83da0877.jpg,"A boy, who is also a kid and a little kid, jumps off a high diving board into the pool."
1057210460_09c6f4c6c1.jpg,"A man stands by an elevator with his head down, putting on his shirt, while a man in a tank top stands next to a chrome door, and another man takes off his overshirt near an elevator."
1057251835_6ded4ada9c.jpg,"A light-colored, small, tan, and white dog is running down a sandy, rocky beach."
106490881_5a2dd9b7bd.jpg,"A young boy in blue swim shorts is playing on the shore of an ocean, smiling for the camera while walking with his arms outstretched on the beach."
106514190_bae200f463.jpg,"A hiker standing high on a bluff overlooks a snow-covered mountain, while a skier pauses on a mountaintop, gazing at the beautiful white snow-covered landscape."
1067180831_a59dc64344.jpg,A black and white dog jumps to catch a yellow and purple toy in a low cut yard.
1067675215_7336a694d6.jpg,"A shirtless man is laying down in the middle of a busy street during heavy traffic, wearing blue shorts, and is positioned in a parking lot between a brown SUV and a yellow pickup with an open door."
1067790824_f3cc97239b.jpg,"A white and black dog and a brown dog are running through sand on a beach, with one chasing the other, and a woolly dog is also present, chasing a Doberman."
1072153132_53d2bb1b60.jpg,"A black and white dog is jumping to catch a tennis ball in a grassy field, with a multicolor dog also visible in the scene, as the dog and a tennis ball are depicted in midair."
107318069_e9f2ef32de.jpg,"At night, seven large hot air balloons are lined up near a crowd of people who are watching them, with the balloons lit up in the dark."
1075716537_62105738b4.jpg,"A young boy in a helmet rides his bicycle down a hill on a miniature dirt bike, pedaling quickly in a BMX race on the road."
107582366_d86f2d3347.jpg,A group of people sit around a table outdoors on a porch at night in a darkened room.
1075867198_27ca2e7efe.jpg,"A man in a brown shirt and dark shorts plays on the beach with his two black dogs, holding a ball throwing toy."
1075881101_d55c46bece.jpg,"A boy covered in bubbles and soapy water is being cleaned, with his face wiped clean as he climbs on a black inflatable ramp."
1077546505_a4f6c4daa9.jpg,"A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water, where he also encounters colorful tubes and colored balloons floating on the pool's surface."
1077931201_1e0bb83105.jpg,"A man in a wetsuit, standing in water, is throwing a small boy up into the air, with water droplets flying, and is ready to catch him as he comes back down."
1079274291_9aaf896cc1.jpg,"Two young boys are looking up at the camera, one sticking out his tongue while the other smiles, with both making silly faces and one of them also sticking his tongue out for the camera as another boy looks on."
10815824_2997e03d76.jpg,"A blonde girl in a black sweatshirt and a blonde horse are standing with a man and two other horses near a contained fire, all watching it together."
1082252566_8c79beef93.jpg,"In a yard, a large brown dog is pushing a small Boston terrier with his face while another dog watches, and a bulldog, a sheep dog, and a boxer stand nearby, with three dogs of various sizes starring at a ball in the middle of them."
1082379191_ec1e53f996.jpg,A shirtless man and a woman are sitting on a dock next to a lake.
1084040636_97d9633581.jpg,"A white dog is resting its head on the ground, with its eyes open, lying on a tiled floor made of patio bricks."
1084104085_3b06223afe.jpg,A woman in a yellow shirt and green shorts is climbing an artificial rock wall while wearing a safety harness.
1087168168_70280d024a.jpg,"A young boy is jumping on an inflatable ring while a girl watches him, and another teenage boy is also jumping on a water jumphouse, with a young boy jumping and a young girl seated in an inflatable pool, as two young kids play in the water on an inflated toy."
1087539207_9f77ab3aaf.jpg,"On a beautiful day, four children are riding on an ATV in a field, with several of them also playing on a Polaris vehicle outdoors, while a family is seen playing on a tractor."
1088767354_2acee738cf.jpg,"A young woman in a red sequined costume and feather stands on the sidewalk, looking at two other people standing on a street—one wearing a black outfit and the other drinking pop—while a flamboyant young woman dressed in a red bikini and a red feathered headress approaches them."
108898978_7713be88fc.jpg,"Two skiers are making their way through a woodland area, sliding down a trail in the snow while wearing yellow jackets and walking up the hill through a forest."
108899015_bf36131a57.jpg,"A lone skier is making their way up a mountain, while two hikers and two people are climbing a snowy hill, with skiers also present at the top of a snow-covered mountain."
1089181217_ee1167f7af.jpg,"A light brown dog is running down a paved pathway happily, next to grass, with an energetic demeanor."
1089755335_0bfbfd30e6.jpg,"A woman and three children are fishing on a boardwalk at night, overlooking the sea, with some people on a nearby pier, and one girl is fishing off the pier."
109202756_b97fcdc62c.jpg,"A young blond woman in a blue jacket sits atop a brown draft horse near a frozen lake in the snowy mountains, with snow-covered surroundings and a brown pony also present in the scene."
109202801_c6381eef15.jpg,"Two draft horses pull a sleigh driven by a woman in a blue coat over snow-covered ground, with the sleigh being steered by a smiling blond woman."
109260216_85b0be5378.jpg,"A person wearing a red vest climbs up a steep rock while holding onto a white rope, and later rappels down a steep incline, using a safety rope as they descend from a tall, flat mountain."
109260218_fca831f933.jpg,"Three people are sitting in a cave, where a shaft of light from the surface bathes them in sunlight, revealing three spelunkers posing inside a rock cavern, while also showing three rock climbers posing on big rocks within the same rock dome."
